taxon_id,scientific_name,common_name,observation_count
48715,Amanita muscaria,Fly Agaric,2211
47392,Coprinus comatus,Shaggy Mane,1766
48529,Tremella mesenterica,witch's butter,1125
55899,Laccaria amethystina,Amethyst Deceiver,1089
67661,Amanita rubescens,blusher,1049
63224,Coprinopsis picacea,Magpie Inkcap,1018
50813,Auricularia auricula-judae,Jelly Ear,916
1098280,Fomitopsis pinicola,Red-banded Polypore,867
54134,Trametes versicolor,turkey-tail,691
55964,Oudemansiella mucida,porcelain mushroom,668
55267,Xylaria hypoxylon,Candlesnuff Fungus,638
63271,Amanita citrina,False Death-cap,630
775410,Fomitopsis betulina,birch polypore,611
157989,Meripilus giganteus,Giant Polypore,578
63255,Clitocybe nebularis,Cloudy Clitocybe,568
127510,Fomes fomentarius,Hoof Fungus,562
48701,Boletus edulis,King Bolete,541
940028,Cerioporus squamosus,Dryad's Saddle,535
54594,Phallus impudicus,common stinkhorn,531
